tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	measurement_positions	measurement_sd_x	er_analyst_mail_names	treatment_dc_field	measurement_flag	measurement_inc	measurement_sd_z	magic_method_codes	measurement_standard	measurement_sd_y	measurement_csd	treatment_ac_field	measurement_temp	measurement_description	treatment_dc_field_phi	treatment_dc_field_theta	measurement_dec	magic_software_packages	magic_instrument_codes	treatment_temp	er_citation_names	measurement_magn_moment
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1	1	1.35e-08		0	g	-53.2	2.14e-09	LT-NO:LP-DIR-T		8.63e-09	2.3	0	273				37.2	pmagpy-3.2.1		273	This study	3.93e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2	1	1.25e-08		0	g	-50.9	2.78e-09	LT-LT-Z:LP-DIR-T		7.51e-09	2.0	0	273				36.7	pmagpy-3.2.1		77	This study	4.29e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3	1	1.65e-08		0	g	-48.5	3.42e-09	LT-T-Z:LP-DIR-T		1.28e-08	2.3	0	273				34.8	pmagpy-3.2.1		373.0	This study	5.32e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4	1	2.39e-08		0	g	-47.6	1.04e-08	LT-T-Z:LP-DIR-T		2.34e-08	3.0	0	273				029.3	pmagpy-3.2.1	hargrave 2014-10-22 15:53:24	423.0	This study	6.71e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5	1	2.00e-08		0	g	-47.3	7.42e-09	LT-T-Z:LP-DIR-T		1.31e-08	2.2	0	273				028.6	pmagpy-3.2.1	hargrave 2014-10-27 16:19:50	473.0	This study	6.55e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6	1	1.81e-08		0	g	-49.3	4.18e-09	LT-T-Z:LP-DIR-T		2.17e-08	3.1	0	273				028.5	pmagpy-3.2.1	hargrave 2014-10-28 13:42:19	523.0	This study	5.27e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7	1	1.42e-08		0	g	-52.8	2.98e-09	LT-T-Z:LP-DIR-T		1.36e-08	3.0	0	273				034.0	pmagpy-3.2.1	hargrave 2014-10-28 20:40:03	573.0	This study	3.81e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8	1	7.58e-09		0	g	-57.3	1.87e-09	LT-T-Z:LP-DIR-T		3.67e-09	2.0	0	273				040.3	pmagpy-3.2.1	hargrave 2014-10-29 20:53:02	623.0	This study	2.40e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9	1	9.19e-09		0	g	-58.4	1.36e-09	LT-T-Z:LP-DIR-T		5.83e-09	3.2	0	273				043.8	pmagpy-3.2.1	hargrave 2014-11-03 17:13:00	673.0	This study	1.97e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10	1	5.82e-09		0	g	-59.9	1.36e-09	LT-T-Z:LP-DIR-T		2.86e-09	2.1	0	273				046.8	pmagpy-3.2.1	hargrave 2014-11-04 12:03:42	698.0	This study	1.78e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	11	1	5.48e-09		0	g	-61.0	8.90e-10	LT-T-Z:LP-DIR-T		3.62e-09	2.3	0	273				049.9	pmagpy-3.2.1	hargrave 2014-11-10 12:53:05	723.0	This study	1.64e-07
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	12	1	3.62e-09		0	g	-63.2	5.24e-10	LT-T-Z:LP-DIR-T		2.88e-09	1.7	0	273				053.3	pmagpy-3.2.1	hargrave 2014-11-10 22:11:56	748.0	This study	1.52e-07
