"BirdLife common name","BirdLife Scientific name","eBird Common Name","eBird Scientific Name"
"Helmeted Guineafowl","Numida meleagris","Helmeted Guineafowl","Numida meleagris"
"Northern Bobwhite","Colinus virginianus","Northern Bobwhite","Colinus virginianus"
"Western Capercaillie","Tetrao urogallus","Eurasian Capercaillie","Tetrao urogallus"
"Red-legged Partridge","Alectoris rufa","Red-legged Partridge","Alectoris rufa"
"Black Francolin","Francolinus francolinus","Black Francolin","Francolinus francolinus"
"Grey Partridge","Perdix perdix","Grey Partridge","Perdix perdix"
"Common Quail","Coturnix coturnix","Common Quail","Coturnix coturnix"
"Himalayan Monal","Lophophorus impejanus","Himalayan Monal","Lophophorus impejanus"
"Common Pheasant","Phasianus colchicus","Common Pheasant","Phasianus colchicus"
"Muscovy Duck","Cairina moschata","Muscovy Duck","Cairina moschata"
"Fulvous Whistling-duck","Dendrocygna bicolor","Fulvous Whistling-Duck","Dendrocygna bicolor"
"Pink-footed Goose","Anser brachyrhynchus","Pink-footed Goose","Anser brachyrhynchus"
"Bean Goose","Anser fabalis","Tundra Bean-Goose","Anser fabalis"
"Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose","Anser albifrons"
"Greylag Goose","Anser anser","Graylag Goose","Anser anser"
"Bar-headed Goose","Anser indicus","Bar-headed Goose","Anser indicus"
"Snow Goose","Chen caerulescens","Snow Goose","Chen caerulescens"
"Canada Goose","Branta canadensis","Canada Goose","Branta canadensis"
"Barnacle Goose","Branta leucopsis","Barnacle Goose","Branta leucopsis"
"Brent Goose (B. b. hrota)","Branta bernicla hrota","Brent Goose (Pale-bellied)","Branta bernicla hrota"
"Brent Goose (B. b. bernicla)","Branta bernicla bernicla","Brent Goose (Dark-bellied)","Branta bernicla bernicla"
"Brent Goose","Branta bernicla","Brent Goose","Branta bernicla"
"Mute Swan","Cygnus olor","Mute Swan","Cygnus olor"
"Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus"
"Black Swan","Cygnus atratus","Black Swan","Cygnus atratus"
"Egyptian goose","Alopochen aegyptiacus","Egyptian Goose","Alopochen aegyptiaca"
"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea"
"Common Shelduck","Tadorna tadorna","Common Shelduck","Tadorna tadorna"
"Wood Duck","Aix sponsa","Wood Duck","Aix sponsa"
